Word,Count
/,24
муравьев,20
Если,13
к,12
для,11
и,11
на,9
движения,9
базы,9
Получить,8
есть,8
</summary>,7
еды,7
если,7
<summary>,7
кол-во,7
муравья,7
рядом,6
класс,6
Конструктор,5
еда,5
то,5
Отрисовка,5
Иначе,5
врагов,5
точке,5
Для,5
с,5
в,5
Ук-ль,4
мир,4
------------------------------------------------------------------------------,4
со,4
не,4
Обновляем,4
численность,4
базу,4
назначения,4
еду,4
или,4
направление,4
все,3
Движение,3
у,3
типов,3
ресурсов,3
создан,3
версии,3
сборке,3
Кол-во,3
Список,3
идет,3
ее,3
Класс,3
Скорость,3
рост,3
муравей-собиратель,3
помощью,3
сборки,3
муравей,3
Изменяем,3
численности,3
Будет,3
Координаты,3
Убиваем,3
генерации,3
\назначения,\,2
</auto-generated>,2
отходят,2
конструктора,2
квадратов,2
враг,2
случайных,2
как,2
Функция,2
код,2
Обновление,2
списка,2
муравьев-собирателей,2
муравьев-воинов,2
запас,2
мира,2
этой,2
вместимость,2
движемся,2
разных,2
Уменьшаем,2
чисел,2
муравьем-разведчиком,2
врага,2
Добавляем,2
добавления,2
него,2
типом,2
становится,2
Генерация,2
code,2
значения,2
Этот,2
из,2
строгим,2
о,2
ResGen,2
Муравьи,2
пищи,2
еде,2
Создаем,2
нету,2
этого,2
муравей-разведчик,2
<auto-generated>,2
номер,2
при,2
муравьев-разведчиков,2
от,2
это,2
Проверка,2
помощи,2
Направление,2
ComVisible,2
исследует,1
быть,1
используемого,1
сколько,1
отнимае,1
входа,1
label4,1
программным,1
textBoxAntsNumber,1
управляемый,1
нужны,1
добавляем,1
Это,1
обновления,1
средством,1
данного,1
перестать,1
\(мира,\,1
затем,1
\есть,\,1
значений:,1
которые,1
тип,1
Освободить,1
параметром,1
label7,1
был,1
файле,1
общими,1
\классы,\,1
behavior,1
среды,1
\враг,\,1
индексом,1
Параметр,1
ресурсы,1
новых,1
Определим,1
\муравьем-собирателем,\,1
\сведения,\,1
Сведения,1
увеличилась,1
incorrect,1
сборкой,1
(внешних,1
нему,1
делаем,1
StronglyTypedResourceBuilder,1
точки,1
\атрибутов,\,1
\COM,\,1
Ук-ли,1
textBoxScouts,1
атрибуту,1
чтобы,1
\перенесли,\,1
Считаем,1
CurrentUICulture,1
осталось,1
Удаляет,1
будут,1
точка,1
be,1
regenerated,1
tool,1
label10,1
следующих,1
постройте,1
привести,1
\базу,\,1
60,1
Установим,1
может,1
становиться,1
задайте,1
поиска,1
Version:4.0.30319.42000,1
метод,1
набора,1
невидимыми,1
VS-проект,1
\еда,\,1
\AssemblyVersion("\1.0.*"\)]\,1
начальное,1
4.0.30319.42000,1
label8,1
принять,1
видимым,1
Проверяем,1
label9,1
делает,1
\ResourceManager,\,1
этих,1
муравей-строитель,1
классом,1
врагу,1
изменить,1
координаты,1
\name="\disposing"\>истинно,\,1
через,1
состоят,1
Основной,1
идентификации,1
здоровья,1
Так,1
перезапустите,1
начале,1
уменьшаем,1
а,1
номера,1
муравьев-строителей,1
Form1,1
Очистка,1
ресурс,1
типа,1
\.ResX,\,1
Changes,1
по,1
текущего,1
двигаться,1
перерисовку,1
Редакция,1
удален;,1
муравья-строителя,1
label5,1
\средств,\,1
Муравей,1
члена,1
30,1
заново,1
textBoxBuilders,1
свой,1
содержимое,1
должен,1
обратиться,1
здоровье,1
Возврат,1
рандомных,1
метода,1
сведениями,1
этот,1
panel1,1
ложно.</param>,1
свойство,1
Обработка,1
проект,1
поведению,1
Можно,1
какому,1
textBoxWarriors,1
строк,1
же,1
label2,1
ниже:,1
COM-компонентов,1
значение,1
умолчанию,1
локализованных,1
просто,1
Здоровье,1
Просто,1
требуется,1
Обновлем,1
may,1
таки,1
переменная,1
таких,1
удаления,1
автоматически,1
факторов:,1
находим,1
Вызвать,1
повышается,1
Номер,1
взял,1
timer1,1
повторно,1
TRUE,1
Обязательный,1
редакции,1
textBoxFood,1
будет,1
\место,\,1
идем,1
the,1
Переопределяет,1
Типы,1
\Проверка,\,1
А,1
поддержки,1
библиотеки,1
какой,1
will,1
and,1
Указатель,1
\"\*"\,\,1
Runtime,1
Удаляем,1
потока,1
numericUpDown1,1
чисел),1
Требуется,1
generated,1
Управление,1
label3,1
иначе,1
Измените,1
могут,1
переноса,1
этом,1
Вместимость,1
выбранным,1
показано,1
Берем,1
уже,1
кода,1
используя,1
значением,1
стало,1
элемент,1
несет,1
цель,1
ничего,1
этим,1
используемые,1
движется,1
label1,1
кэшированного,1
textBoxFooders,1
служит,1
всех,1
if,1
Visual,1
состояние,1
by,1
\типов,\,1
Версия,1
редактора,1
textBoxGrowthRate,1
Изменения,1
COM,1
to,1
-,1
появления,1
файл,1
после,1
обновляем,1
lost,1
подстановки,1
класса,1
четырех,1
упала,1
приложения,1
Отнимаем,1
осуществляется,1
GUID,1
label6,1
муравей-воин,1
Следующий,1
выполнения:,1
Ищем,1
типу,1
Поиск,1
Двигаем,1
задать,1
file,1
типы,1
a,1
убираем,1
экземпляра,1
проверки,1
Точка,1
количество,1
textBoxCapacity,1
Количество,1
cause,1
Главная,1
Cдвигаем,1
ли,1
Тип,1
муравейнику,1
что,1
Дополнительный,1
was,1
еще,1
пр,1
\утрачены,\,1
\еды,\,1
связанные,1
is,1
Начальн,1
атрибутов,1
FALSE,1
this,1
Движения,1
пищи),1
This,1
до,1
рандмного,1
список,1
/str,1
изменяйте,1
Studio,1
наших,1
подошли,1
неправильному,1
[assembly:,1
<param,1
измените,1
